LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.69855,11.6407,0,0,511,46,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:09:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,48,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:11:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,50,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:13:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,51,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:15:04.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,54,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:17:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,54,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:19:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,58,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:21:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,60,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:23:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,62,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:25:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,64,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:27:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,66,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:29:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,67,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:31:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,70,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:33:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,72,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:35:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,74,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:37:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,76,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:39:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,78,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:41:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,78,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:43:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,82,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:45:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,84,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:47:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,86,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:49:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,87,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:51:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,90,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:53:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,92,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:55:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,94,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:57:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,96,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T10:59:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,98,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:01:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,100,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:03:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,102,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:05:07.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,104,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:07:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,106,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:09:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,108,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:11:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,110,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:13:04.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,112,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:15:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,114,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:17:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,116,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:19:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,118,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:21:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,120,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:23:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,122,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:25:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,124,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:27:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,126,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:29:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,127,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:31:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,130,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:33:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,132,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:35:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,134,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:37:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.69855,11.6407,0,0,511,136,CLASS B,SE,12,NA,GG451 MIA,2,324190,4,3,2,NA,NA,1,2016-12-14T11:39:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
