LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.5057,18.60199,10,89,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-20T10:57:01.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.50574,18.60493,9,88,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-20T11:01:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.53503,18.53618,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T11:39:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53501,18.53622,0,0,511,1,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T11:41:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53501,18.53622,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T11:43:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53621,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T11:45:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53621,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T11:47:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53617,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T11:49:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53621,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T11:51:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53616,0,0,511,1,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T11:53:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53616,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T11:55:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53501,18.53619,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T11:57:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53618,0,0,511,1,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T11:59:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53618,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:01:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53617,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:03:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53617,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:05:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53623,0,0,511,1,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:11:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53623,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:13:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53507,18.53621,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:15:09.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53507,18.53621,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:17:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53505,18.53619,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:19:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.5362,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:21:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.5362,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:23:09.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53618,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:25:09.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53619,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:31:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53505,18.53623,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:33:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53505,18.53623,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:35:09.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53504,18.53623,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:37:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53504,18.53624,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:39:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53504,18.53624,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:41:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53506,18.53619,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:43:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53506,18.53622,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:45:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53506,18.53622,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:47:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53506,18.53622,0,0,511,6,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:49:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.5362,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:51:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53613,0,263,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:57:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53613,0,263,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T12:59:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53621,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T13:01:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53621,0,0,511,5,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T13:03:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53622,0,0,511,1,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T13:05:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53622,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T13:07:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53619,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T13:11:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53618,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T13:15:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53618,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T13:17:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53618,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T13:19:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53618,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T13:27:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.5362,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T13:33:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.5362,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T13:35:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53621,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T13:45:09.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53501,18.53619,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T13:57:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53504,18.53617,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T14:03:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53504,18.53617,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T14:05:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53616,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T14:07:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.5362,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T14:33:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.5362,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T14:35:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.5362,0,0,511,6,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T14:37:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.5362,0,0,511,8,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T14:39:06.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.5362,0,0,511,10,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T14:41:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.5362,0,0,511,10,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T14:43:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53616,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T14:45:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53616,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T14:47:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53616,0,0,511,6,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T14:49:11.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53614,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T14:51:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53614,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T14:53:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53614,0,0,511,6,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T14:55:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53504,18.5362,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:21:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53504,18.5362,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:23:06.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53504,18.5362,0,0,511,6,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:25:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53505,18.53617,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:27:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53505,18.53617,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:29:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53505,18.53617,0,0,511,5,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:31:15.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53504,18.53616,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:33:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53504,18.53616,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:35:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53504,18.53616,0,0,511,6,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:37:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53504,18.53616,0,0,511,8,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:39:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53504,18.53616,0,0,511,10,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:41:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53504,18.53616,0,0,511,12,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:43:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53616,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:45:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53616,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:47:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53616,0,0,511,6,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:49:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53616,0,0,511,8,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:51:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53616,0,0,511,10,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:53:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53616,0,0,511,12,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:55:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53504,18.53614,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T15:57:09.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53612,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T16:13:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53612,0,0,511,5,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T16:15:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53615,0,0,511,1,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T16:17:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53615,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T16:19:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53615,0,0,511,5,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T16:21:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53615,0,0,511,1,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T16:23:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53615,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T16:25:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53612,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T16:37:06.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53612,0,0,511,5,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T16:39:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53613,0,0,511,1,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T16:59:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53613,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T17:01:09.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53501,18.53614,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T17:27:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53616,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T17:59:09.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53616,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:01:17.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53616,0,0,511,6,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:03:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53616,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:09:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53505,18.53613,0,242,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:11:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53505,18.53613,0,242,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:13:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53505,18.53613,0,242,511,6,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:15:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53507,18.53611,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:21:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53505,18.53613,0,0,511,1,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:23:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53505,18.53613,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:25:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53615,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:27:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53614,0,0,511,1,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:29:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53614,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:31:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53614,0,0,511,5,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:33:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53505,18.53618,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:35:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53505,18.53618,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:37:09.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53505,18.53618,0,0,511,6,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:39:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53613,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:47:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53613,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:49:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53613,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:51:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53617,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:53:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53617,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:55:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53617,0,0,511,6,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T18:57:06.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53502,18.53622,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T19:15:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53619,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T19:23:06.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53619,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T19:25:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53503,18.53621,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T19:27:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53614,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T19:29:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.53614,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T19:31:06.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.53501,18.5362,0,0,511,3,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T19:39:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.5362,0,0,511,2,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T19:41:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.535,18.5362,0,0,511,4,CLASS B,PL,7,NA,R-20,3,316243,2,7,0,NA,NA,0,2016-12-13T19:43:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
